Name,Organization,Status,Year Elected
Baron von Timotheus M. Klingstadt,American Philosophical Society,Member,1773
William Ludlam,American Philosophical Society,Member,1773
Andrew Oliver,American Philosophical Society,Member,1773
Jean B. Le Roy,American Philosophical Society,Member,1773
Alexander Small,American Philosophical Society,Member,1773
James Tilton,American Philosophical Society,Member,1773
Nicholas Way,American Philosophical Society,Member,1773
James Bringhurst,American Philosophical Society,Member,1774
William Bryant,American Philosophical Society,Member,1774
Sharp Delany,American Philosophical Society,Member,1774
Andrew Duncan,American Philosophical Society,Member,1774
Bryan Edwards,American Philosophical Society,Member,1774
John Ellis,American Philosophical Society,Member,1774
Jonathan Elmer,American Philosophical Society,Member,1774
George Gauld,American Philosophical Society,Member,1774
John Jones,American Philosophical Society,Member,1774
Walter Jones,American Philosophical Society,Member,1774
James McClurg,American Philosophical Society,Member,1774
Samuel More,American Philosophical Society,Member,1774
Benjamin Morgan,American Philosophical Society,Member,1774
Thomas Parke,American Philosophical Society,Member,1774
John Perkins,American Philosophical Society,Member,1774
Bernard Romans,American Philosophical Society,Member,1774
Lord Mahon Charles Stanhope,American Philosophical Society,Member,1774
Lord Mahon Philips Stanhope,American Philosophical Society,Member,1774
William Wright,American Philosophical Society,Member,1774
Charles Adams,American Philosophical Society,Member,1775
Jacques Barbeu-Dubourg,American Philosophical Society,Member,1775
Marquis de M.J.A.N. Caritat Condorcet,American Philosophical Society,Member,1775
Louis J.M. Daubenton,American Philosophical Society,Member,1775
Fortunatus Dwarris,American Philosophical Society,Member,1775
Thomas Gibbons,American Philosophical Society,Member,1775
Samuel Holland,American Philosophical Society,Member,1775
Antoine L. Lavoisier,American Philosophical Society,Member,1775
Pierre J. Macquer,American Philosophical Society,Member,1775
Benjamin Moseley,American Philosophical Society,Member,1775
Guillaume T. F. Raynall,American Philosophical Society,Member,1775
Le Roux,American Philosophical Society,Member,1775
Jean F. Rozier,American Philosophical Society,Member,1775
George Duffield,American Philosophical Society,Member,1779
James Hutchinson,American Philosophical Society,Member,1779
Charles Pettit,American Philosophical Society,Member,1779
Conrad A. Gerard de Rayneval,American Philosophical Society,Member,1779
Jean-Joseph Sue,American Philosophical Society,Member,1779
John Adams,American Philosophical Society,Member,1780
Marquis de Francois Barbe-Marbois,American Philosophical Society,Member,1780
William Brown,American Philosophical Society,Member,1780
William Carmichael,American Philosophical Society,Member,1780
Arthur St. Clair,American Philosophical Society,Member,1780
Robert Erskine,American Philosophical Society,Member,1780
William Grayson,American Philosophical Society,Member,1780
Alexander Hamilton,American Philosophical Society,Member,1780
William C. Houston,American Philosophical Society,Member,1780
John Jay,American Philosophical Society,Member,1780
Thomas Jefferson,American Philosophical Society,Member,1780
J.C. Kunze,American Philosophical Society,Member,1780
John Laurens,American Philosophical Society,Member,1780
Anne C. de la Luaerne,American Philosophical Society,Member,1780
Rev. James Madison,American Philosophical Society,Member,1780
Timothy Matlack,American Philosophical Society,Member,1780
Baron Friedrich W. von Steuben,American Philosophical Society,Member,1780
Jean-Baptiste Ternant,American Philosophical Society,Member,1780
Charles Vallancey,American Philosophical Society,Member,1780
George Washington,American Philosophical Society,Member,1780
Anthony Wayne,American Philosophical Society,Member,1780
Thomas Bee,American Philosophical Society,Member,1781
Marquis de Francois J. Chastellux,American Philosophical Society,Member,1781
Isaac Gray,American Philosophical Society,Member,1781
Ebenezer Hazard,American Philosophical Society,Member,1781
Jared Ingersoll,American Philosophical Society,Member,1781
Marquis de Motier Theodore Lafayette,American Philosophical Society,Member,1781
Hugh Shiell,American Philosophical Society,Member,1781
Chevalier d' Charles F.A. Le Paulmier Annemours,American Philosophical Society,Member,1783
John Beale Bordley,American Philosophical Society,Member,1783
Jean F. Coste,American Philosophical Society,Member,1783
Robert Davidson,American Philosophical Society,Member,1783
Felice Fontana,American Philosophical Society,Member,1783
Antoine Court de Gebilin,American Philosophical Society,Member,1783
Samuel Huntingdon,American Philosophical Society,Member,1783
Robert M. Patterson,American Philosophical Society,Member,1783
Comte Charles C. Labillarderie Angivillier,American Philosophical Society,Member,1784
Jeremy Belknap,American Philosophical Society,Member,1784
Peter J. Van Berckel,American Philosophical Society,Member,1784
Barnabas Binney,American Philosophical Society,Member,1784
Robert Blackwell,American Philosophical Society,Member,1784
Fred F.S. de Brahm,American Philosophical Society,Member,1784
Pedro Rodriguez Campomanes,American Philosophical Society,Member,1784
John Dunlap,American Philosophical Society,Member,1784
John Foulke,American Philosophical Society,Member,1784
George Fox,American Philosophical Society,Member,1784
Arch Gamble,American Philosophical Society,Member,1784
George Gray,American Philosophical Society,Member,1784
J.H.C. Helmuth,American Philosophical Society,Member,1784
Thomas Heyward,American Philosophical Society,Member,1784
Rev. Samuel Magaw,American Philosophical Society,Member,1784
John H. de Magellan,American Philosophical Society,Member,1784
Jonathan D. Sergeant,American Philosophical Society,Member,1784
James Six,American Philosophical Society,Member,1784
John Vaughan,American Philosophical Society,Member,1784
Samuel Vaughan,American Philosophical Society,Member,1784
Comte de Charles G. Vergennes,American Philosophical Society,Member,1784
Frederick E.F. Bertholff,American Philosophical Society,Member,1785
Comte de Luc Urbain du Bouexic,American Philosophical Society,Member,1785
William Bradford,American Philosophical Society,Member,1785
Edward Burd,American Philosophical Society,Member,1785
John Carson,American Philosophical Society,Member,1785
Adair Crawford,American Philosophical Society,Member,1785
Manasseh Cutler,American Philosophical Society,Member,1785
Andrew Ellicott,American Philosophical Society,Member,1785
Samuel Powel Griffiths,American Philosophical Society,Member,1785
Samuel G. Hermelin,American Philosophical Society,Member,1785
Sir William Herschel,American Philosophical Society,Member,1785
Hugh James,American Philosophical Society,Member,1785
Thaddeus Kosciusko,American Philosophical Society,Member,1785
James Madison,American Philosophical Society,Member,1785
Joseph Mandrillion,American Philosophical Society,Member,1785
James McHenry,American Philosophical Society,Member,1785
Christian F. Michailis,American Philosophical Society,Member,1785
Henry E. Muhlenberg,American Philosophical Society,Member,1785
Mann Page,American Philosophical Society,Member,1785
Thomas Paine,American Philosophical Society,Member,1785
William Parker,American Philosophical Society,Member,1785
Robert Perceval,American Philosophical Society,Member,1785
Richard Price,American Philosophical Society,Member,1785
Joseph Priestley,American Philosophical Society,Member,1785
Samuel S. Smith,American Philosophical Society,Member,1785
Jean-Baptiste Sue,American Philosophical Society,Member,1785
George Wall,American Philosophical Society,Member,1785
Benjamin Workman,American Philosophical Society,Member,1785
James Beattie,American Philosophical Society,Member,1786
Pierre J.G. Cabanis,American Philosophical Society,Member,1786
Conte Luigi Castiglioni,American Philosophical Society,Member,1786
Jacques A.C. Charles,American Philosophical Society,Member,1786
George Clymer,American Philosophical Society,Member,1786
Lorenz Crell,American Philosophical Society,Member,1786
Benjamin Duffield,American Philosophical Society,Member,1786
Aime A.J. Feutry,American Philosophical Society,Member,1786
William Temple Franklin,American Philosophical Society,Member,1786
Thibert Garbier,American Philosophical Society,Member,1786
Rene G. Gastelier,American Philosophical Society,Member,1786
Granchain,American Philosophical Society,Member,1786
Guillaume Grivel,American Philosophical Society,Member,1786
Thomas Henry,American Philosophical Society,Member,1786
Jonathan Hoge,American Philosophical Society,Member,1786
Jan Ingenhousz,American Philosophical Society,Member,1786
John Andrews,American Philosophical Society,Member,1786
Richard Kirwan,American Philosophical Society,Member,1786
John Morris,American Philosophical Society,Member,1786
Robert Morris,American Philosophical Society,Member,1786
Nicolas Noel,American Philosophical Society,Member,1786
Charles Willson Peale,American Philosophical Society,Member,1786
Thomas Percival,American Philosophical Society,Member,1786
Robert E. Pine,American Philosophical Society,Member,1786
William Rawle,American Philosophical Society,Member,1786
Duc de Louis A. La Rochefoucauld d'Enville,American Philosophical Society,Member,1786
Julien D. Le Roy,American Philosophical Society,Member,1786
Jean L.G. Soulavie,American Philosophical Society,Member,1786
Benjamin Vaughan,American Philosophical Society,Member,1786
Samuel Vaughan,American Philosophical Society,Member,1786
Louis G. Le Veillard,American Philosophical Society,Member,1786
Charles H. Wharton,American Philosophical Society,Member,1786
John Whitehurst,American Philosophical Society,Member,1786
William Baker,American Philosophical Society,Member,1787
Sir Joseph Banks,American Philosophical Society,Member,1787
Robert Barclay,American Philosophical Society,Member,1787
Thomas Barnes,American Philosophical Society,Member,1787
William Barton,American Philosophical Society,Member,1787
John Bayard,American Philosophical Society,Member,1787
William Bingham,American Philosophical Society,Member,1787
James Bowdoin,American Philosophical Society,Member,1787
Louis C. Cadet-Gassicourt,American Philosophical Society,Member,1787
Benjamin Chew,American Philosophical Society,Member,1787
Isaac Craig,American Philosophical Society,Member,1787
Enoch Edwards,American Philosophical Society,Member,1787
John Hunter,American Philosophical Society,Member,1787
Joseph James,American Philosophical Society,Member,1787
Francis Johnston,American Philosophical Society,Member,1787
John Johnston,American Philosophical Society,Member,1787
Charles Lennox,American Philosophical Society,Member,1787
John Coakley Lettsom,American Philosophical Society,Member,1787
Hon. John Lowell,American Philosophical Society,Member,1787
Robert Milligan,American Philosophical Society,Member,1787
Sir Edward Newenham,American Philosophical Society,Member,1787
Comte Louis G. Otto,American Philosophical Society,Member,1787
John R.B. Rodgers,American Philosophical Society,Member,1787
Thomas Ruston,American Philosophical Society,Member,1787
William W. Smith,American Philosophical Society,Member,1787
George Spence,American Philosophical Society,Member,1787
William Thornton,American Philosophical Society,Member,1787
George Vaux,American Philosophical Society,Member,1787
Antoine A.F. Cadet de Vaux,American Philosophical Society,Member,1787
Thomas White,American Philosophical Society,Member,1787
Jonathan Williams,American Philosophical Society,Member,1787
Caspar Wistar,American Philosophical Society,Member,1787
Simeon De Witt,American Philosophical Society,Member,1787
Burgiss Allison,American Philosophical Society,Member,1789
Charles Arthaud,American Philosophical Society,Member,1789
Benjamin Smith Barton,American Philosophical Society,Member,1789
Samuel Beach,American Philosophical Society,Member,1789
Sir Charles Blagden,American Philosophical Society,Member,1789
John Bleakley,American Philosophical Society,Member,1789
David Brearly,American Philosophical Society,Member,1789
Jean P. Brissot,American Philosophical Society,Member,1789
George Buchanan,American Philosophical Society,Member,1789
Pieter Camper,American Philosophical Society,Member,1789
Nicholas Collin,American Philosophical Society,Member,1789
John Cox,American Philosophical Society,Member,1789
Michel G. St. J. de Crevecoeur,American Philosophical Society,Member,1789
Princess Catherine Ekaterina Dashkova,American Philosophical Society,Member,1789
William Findley,American Philosophical Society,Member,1789
Jos. M. de Flores,American Philosophical Society,Member,1789
Diego de Gardoqui,American Philosophical Society,Member,1789
Francis de Gardoqui,American Philosophical Society,Member,1789
Peter Le Gaux,American Philosophical Society,Member,1789
Ashbel Green,American Philosophical Society,Member,1789
Friedrich A. von Heintz,American Philosophical Society,Member,1789
Joshua Humphreys,American Philosophical Society,Member,1789
Walter Minto,American Philosophical Society,Member,1789
George Monroe,American Philosophical Society,Member,1789
Mekeric L.E. Moreau,American Philosophical Society,Member,1789
William Paterson,American Philosophical Society,Member,1789
C.C. Pinckney,American Philosophical Society,Member,1789
Thomas Pole,American Philosophical Society,Member,1789
David Redick,American Philosophical Society,Member,1789
Benjamin Rittenhouse,American Philosophical Society,Member,1789
James Rumsey,American Philosophical Society,Member,1789
Winthrop Sargent,American Philosophical Society,Member,1789
Franz A. Steinsky,American Philosophical Society,Member,1789
John Stevens,American Philosophical Society,Member,1789
Charles Stuart,American Philosophical Society,Member,1789
James Wilkinson,American Philosophical Society,Member,1789
John Witherspoon,American Philosophical Society,Member,1789
Baron J.W.K.A. Hupsch von Lontxen,American Philosophical Society,Member,1790
Anders Sparman,American Philosophical Society,Member,1790
George Turner,American Philosophical Society,Member,1790
John Walker,American Philosophical Society,Member,1790
Caleb Whitefoord,American Philosophical Society,Member,1790
Alexander Addison,American Philosophical Society,Member,1791
Alexander Anderson,American Philosophical Society,Member,1791
Absalom Baird,American Philosophical Society,Member,1791
John Beckley,American Philosophical Society,Member,1791
Nicholas L. Burmann,American Philosophical Society,Member,1791
Alexander J. Dallas,American Philosophical Society,Member,1791
William Ferguson,American Philosophical Society,Member,1791
Albert Gallatin,American Philosophical Society,Member,1791
Benjamin Gloxin,American Philosophical Society,Member,1791
Robert Goldsbourough,American Philosophical Society,Member,1791
John G. Grosche,American Philosophical Society,Member,1791
John Hoge,American Philosophical Society,Member,1791
James Anderson,American Philosophical Society,Member,1791
Henry Knox,American Philosophical Society,Member,1791
John Luzac,American Philosophical Society,Member,1791
S.L. Mitchell,American Philosophical Society,Member,1791
Johann A. Murray,American Philosophical Society,Member,1791
John Nicholson,American Philosophical Society,Member,1791
Peter S. Pallas,American Philosophical Society,Member,1791
John Penington,American Philosophical Society,Member,1791
Thomas Pennant,American Philosophical Society,Member,1791
Peter S. Du Ponceau,American Philosophical Society,Member,1791
Edmund Randolph,American Philosophical Society,Member,1791
Andrew Ross,American Philosophical Society,Member,1791
James Ross,American Philosophical Society,Member,1791
John Smilie,American Philosophical Society,Member,1791
Dugald Stewart,American Philosophical Society,Member,1791
Karl P. Thunberg,American Philosophical Society,Member,1791
Benjamin Waterhouse,American Philosophical Society,Member,1791
Richard P. Barton,American Philosophical Society,Member,1792
Guiseppe Ceracchi,American Philosophical Society,Member,1792
William Currie,American Philosophical Society,Member,1792
Erasmus Darwin,American Philosophical Society,Member,1792
Comte de Antoine R.C.M. La Forest,American Philosophical Society,Member,1792
Anthony Fothergill,American Philosophical Society,Member,1792
David Jackson,American Philosophical Society,Member,1792
John Page,American Philosophical Society,Member,1792
Baron de Ambroise M.F.J. Palisot,American Philosophical Society,Member,1792
Conte Paolo Andreani,American Philosophical Society,Member,1792
John Rouelle,American Philosophical Society,Member,1792
William Smith,American Philosophical Society,Member,1792
Uvo van Troil,American Philosophical Society,Member,1792
John Trumbull,American Philosophical Society,Member,1792
Rodolph Valltravers,American Philosophical Society,Member,1792
Nicholas B. Waters,American Philosophical Society,Member,1792
Andre F. de Coupigny,American Philosophical Society,Member,1793
J. Reinhold Forster,American Philosophical Society,Member,1793
George Logan,American Philosophical Society,Member,1793
John W. Lottera,American Philosophical Society,Member,1793
David Nassy,American Philosophical Society,Member,1793
Thomas L. Shippen,American Philosophical Society,Member,1793
Louis Valentin,American Philosophical Society,Member,1793
William Waring,American Philosophical Society,Member,1793
David S. Erskine,American Philosophical Society,Member,1794
James Greenway,American Philosophical Society,Member,1794
James Anderson,American Philosophical Society,Member,1794
John Nancarrow,American Philosophical Society,Member,1794
Gustaf von Carleson,American Philosophical Society,Member,1795
Archibald Cochrane,American Philosophical Society,Member,1795
Robert Leslie,American Philosophical Society,Member,1795
Val Melscheimer,American Philosophical Society,Member,1795
Tim Pickering,American Philosophical Society,Member,1795
Samuel Wheeler,American Philosophical Society,Member,1795
Rev. James Abercrombie,American Philosophical Society,Member,1796
Pierre A. Adet,American Philosophical Society,Member,1796
Nathaniel B. Bedford,American Philosophical Society,Member,1796
Isaac Briggs,American Philosophical Society,Member,1796
Charles Caldwell,American Philosophical Society,Member,1796
Dr. Isaac Cathrall,American Philosophical Society,Member,1796
F.H. Le Comte,American Philosophical Society,Member,1796
Tench Coxe,American Philosophical Society,Member,1796
Joanne B. Cunat,American Philosophical Society,Member,1796
Jean Deveze,American Philosophical Society,Member,1796
Louis E. Duhail,American Philosophical Society,Member,1796
Cypriano R. Friere,American Philosophical Society,Member,1796
Jacques M. le F. de Grandpre,American Philosophical Society,Member,1796
Hugh Hodge,American Philosophical Society,Member,1796
Jose de Jaudences,American Philosophical Society,Member,1796
J.F. Mifflin,American Philosophical Society,Member,1796
William D. Peck,American Philosophical Society,Member,1796
Francois A.F. de la Rochefoucauld-Liancourt,American Philosophical Society,Member,1796
Sir James E. Smith,American Philosophical Society,Member,1796
Charles M. de Talleyrand-Perigord,American Philosophical Society,Member,1796
Luis de Urbina,American Philosophical Society,Member,1796
James Woodhouse,American Philosophical Society,Member,1796
William Bache,American Philosophical Society,Member,1797
Samuel Blair,American Philosophical Society,Member,1797
John Guillemard,American Philosophical Society,Member,1797
William Hamilton,American Philosophical Society,Member,1797
John Heckewilder,American Philosophical Society,Member,1797
Andrews Everardus Van Braam Houckgeest,American Philosophical Society,Member,1797
Thomas C. James,American Philosophical Society,Member,1797
Alexander Martin,American Philosophical Society,Member,1797
Theo. C. Mozard,American Philosophical Society,Member,1797
John Newnan,American Philosophical Society,Member,1797
Thomas Pinckney,American Philosophical Society,Member,1797
Adam Seybert,American Philosophical Society,Member,1797
Rich P. Smith,American Philosophical Society,Member,1797
Samuel H. Smith,American Philosophical Society,Member,1797
John Stuart,American Philosophical Society,Member,1797
Comte Constantin F. Chasseboeuf de Volney,American Philosophical Society,Member,1797
Johann F. Blumenbach,American Philosophical Society,Member,1798
Julian U. Niemcewicz,American Philosophical Society,Member,1798
William Patterson,American Philosophical Society,Member,1798
Giambattista Scandella,American Philosophical Society,Member,1798
Franz A. von Zach,American Philosophical Society,Member,1798
William Boys,American Philosophical Society,Member,1799
Joseph Clay,American Philosophical Society,Member,1799
John R. Coxe,American Philosophical Society,Member,1799
Samuel Elam,American Philosophical Society,Member,1799
Benjamin H. Latrobe,American Philosophical Society,Member,1799
William Maclure,American Philosophical Society,Member,1799
Thomas P. Smith,American Philosophical Society,Member,1799
Justus E. Bollmann,American Philosophical Society,Member,1800
Samuel Brown,American Philosophical Society,Member,1800
William Dunbar,American Philosophical Society,Member,1800
Sir Robert Liston,American Philosophical Society,Member,1800
Samuel Miller,American Philosophical Society,Member,1800
Pierre S. du Pont de Nemours,American Philosophical Society,Member,1800
John R. Smith,American Philosophical Society,Member,1800
Francis Blanchet,American Philosophical Society,Member,1801
Samuel Falberg,American Philosophical Society,Member,1801
Jose J. de Ferrer,American Philosophical Society,Member,1801
Thomas T. Hewson,American Philosophical Society,Member,1801
William Jones,American Philosophical Society,Member,1801
Robert R. Livingston,American Philosophical Society,Member,1801
Gustav Paykull,American Philosophical Society,Member,1801
Fran Peyrolon,American Philosophical Society,Member,1801
Alexander Ramirez,American Philosophical Society,Member,1801
William Barnwell,American Philosophical Society,Member,1802
John Church,American Philosophical Society,Member,1802
Thomas Cooper,American Philosophical Society,Member,1802
Valentin de Foronda,American Philosophical Society,Member,1802
John Garnett,American Philosophical Society,Member,1802
Marquis de C.M. Martinez Casa Irujo,American Philosophical Society,Member,1802
William S. Jacobs,American Philosophical Society,Member,1802
Philippe R. Roume de St. Laurent,American Philosophical Society,Member,1802
Phillippe J. Letsom,American Philosophical Society,Member,1802
James Mease,American Philosophical Society,Member,1802
Peter B. Olsen,American Philosophical Society,Member,1802
Philip S. Physick,American Philosophical Society,Member,1802
Jarvis Roebuck,American Philosophical Society,Member,1802
William Roxburgh,American Philosophical Society,Member,1802
Benjamin Dearborn,American Philosophical Society,Member,1803
Jean B.J. Delambre,American Philosophical Society,Member,1803
Robert Gilmore,American Philosophical Society,Member,1803
Robert Hare,American Philosophical Society,Member,1803
Meriwether Lewis,American Philosophical Society,Member,1803
Dan Melanderhjelm,American Philosophical Society,Member,1803
Francis Nichols,American Philosophical Society,Member,1803
Eric Prosperin,American Philosophical Society,Member,1803
David Ramsay,American Philosophical Society,Member,1803
Benjamin Thompson,American Philosophical Society,Member,1803
Pedro Caevallos,American Philosophical Society,Member,1804
Antonio J. Cavanilles,American Philosophical Society,Member,1804
Zaccheus Collins,American Philosophical Society,Member,1804
Joshua Gilpin,American Philosophical Society,Member,1804
Prince Manuel Godoy,American Philosophical Society,Member,1804
Baron von F.H. Alexander Humboldt,American Philosophical Society,Member,1804
David Humphreys,American Philosophical Society,Member,1804
Edward Jenner,American Philosophical Society,Member,1804
William Short,American Philosophical Society,Member,1804
Sam Webber,American Philosophical Society,Member,1804
Joseph Willard,American Philosophical Society,Member,1804
William Hawes,American Philosophical Society,Member,1805
William Jones,American Philosophical Society,Member,1805
Edward Miller,American Philosophical Society,Member,1805
Samuel Moore,American Philosophical Society,Member,1805
John Prince,American Philosophical Society,Member,1805
Benjamin Silliman,American Philosophical Society,Member,1805
Charles Smith,American Philosophical Society,Member,1805
William Tilghman,American Philosophical Society,Member,1805
F.A. Vanderkemp,American Philosophical Society,Member,1805
Bushrod Washington,American Philosophical Society,Member,1805
Adrien G. Camper,American Philosophical Society,Member,1806
Joseph Cloud,American Philosophical Society,Member,1806
Samuel F. Conover,American Philosophical Society,Member,1806
William Dubourg,American Philosophical Society,Member,1806
John Maclean,American Philosophical Society,Member,1806
Martinus van Martius,American Philosophical Society,Member,1806
Joseph Sansom,American Philosophical Society,Member,1806
Francisco de Borja Garcao Stockler,American Philosophical Society,Member,1806
Olof Swartz,American Philosophical Society,Member,1806
Comte Antoine L.C. Desturr de Tracy,American Philosophical Society,Member,1806
Samuel B. Wylie,American Philosophical Society,Member,1806
Archibald Bruce,American Philosophical Society,Member,1807
Nathaniel Chapman,American Philosophical Society,Member,1807
Mahlon Dickerson,American Philosophical Society,Member,1807
John E. Forstroem,American Philosophical Society,Member,1807
James Gibson,American Philosophical Society,Member,1807
Ferd R. Hassler,American Philosophical Society,Member,1807
George Izard,American Philosophical Society,Member,1807
John McDowell,American Philosophical Society,Member,1807
Ir _ e Du Pont,American Philosophical Society,Member,1807
Comte de Charles P. Lasteyrie du Saillant,American Philosophical Society,Member,1807
Horace Binney,American Philosophical Society,Member,1808
Edward Penington,American Philosophical Society,Member,1808
William Staughton,American Philosophical Society,Member,1808
Joel Barlow,American Philosophical Society,Member,1809
Nathaniel Bowditch,American Philosophical Society,Member,1809
Ross Cuthbert,American Philosophical Society,Member,1809
George William Featherstonhaugh,American Philosophical Society,Member,1809
Robert Fulton,American Philosophical Society,Member,1809
Silvain Godon,American Philosophical Society,Member,1809
Francois A. Michaux,American Philosophical Society,Member,1809
Thomas Moore,American Philosophical Society,Member,1809
Robert M. Patterson,American Philosophical Society,Member,1809
David B. Warden,American Philosophical Society,Member,1809
James Winthrop,American Philosophical Society,Member,1809
J.H. Brinton,American Philosophical Society,Member,1810
Humphry Davy,American Philosophical Society,Member,1810
George Gibbs,American Philosophical Society,Member,1810
John Haighton,American Philosophical Society,Member,1810
David Hosack,American Philosophical Society,Member,1810
William Johnson,American Philosophical Society,Member,1810
William Bentley,American Philosophical Society,Member,1811
John Davis,American Philosophical Society,Member,1811
John M. Good,American Philosophical Society,Member,1811
Louis N. Vanquelin,American Philosophical Society,Member,1811
Charles J. Wister,American Philosophical Society,Member,1811
Robert Adrain,American Philosophical Society,Member,1812
Benjamin Allen,American Philosophical Society,Member,1812
Jose F. Correa da Serra,American Philosophical Society,Member,1812
Robert Walsh,American Philosophical Society,Member,1812
W.P.C. Barton,American Philosophical Society,Member,1813
Nicholas Biddle,American Philosophical Society,Member,1813
Charles Chauncey,American Philosophical Society,Member,1813
Constant Dumeril,American Philosophical Society,Member,1813
Reuben Haines,American Philosophical Society,Member,1813
William Hembel,American Philosophical Society,Member,1813
William T. Meredith,American Philosophical Society,Member,1813
Benjamin R. Morgan,American Philosophical Society,Member,1813
George Pollock,American Philosophical Society,Member,1813
Anders J. Retzius,American Philosophical Society,Member,1813
John Sergeant,American Philosophical Society,Member,1813
Alexander Wilson,American Philosophical Society,Member,1813
Nathaniel Stout Allison,American Philosophical Society,Member,1814
Frederick Beasley,American Philosophical Society,Member,1814
John G. Biddle,American Philosophical Society,Member,1814
De Witt Clinton,American Philosophical Society,Member,1814
James Cutbush,American Philosophical Society,Member,1814
John S. Dorsey,American Philosophical Society,Member,1814
Thomas Gilpin,American Philosophical Society,Member,1814
John Gummere,American Philosophical Society,Member,1814
John E. Hall,American Philosophical Society,Member,1814
Joseph G. Swift,American Philosophical Society,Member,1814
James P. Wilson,American Philosophical Society,Member,1814
Samuel Colhoun,American Philosophical Society,Member,1815
James Gray,American Philosophical Society,Member,1815
Charles W. Hare,American Philosophical Society,Member,1815
Joseph Hartshorne,American Philosophical Society,Member,1815
Joseph Hopkinson,American Philosophical Society,Member,1815
Charles J. Ingersoll,American Philosophical Society,Member,1815
Joseph P. Norris,American Philosophical Society,Member,1815
Joseph Parrish,American Philosophical Society,Member,1815
John M. Scott,American Philosophical Society,Member,1815
Carlo Botta,American Philosophical Society,Member,1816
Abiel Holmes,American Philosophical Society,Member,1816
Jared Mansfield,American Philosophical Society,Member,1816
Joseph Reed,American Philosophical Society,Member,1816
Isaiah Thomas,American Philosophical Society,Member,1816
Gerard Troost,American Philosophical Society,Member,1816
Joseph P.F. Deleuze,American Philosophical Society,Member,1817
Johann P. Frank,American Philosophical Society,Member,1817
William Gaston,American Philosophical Society,Member,1817
Jos. von Hammer-Purgstall,American Philosophical Society,Member,1817
Charles A. Lesueur,American Philosophical Society,Member,1817
William Meade,American Philosophical Society,Member,1817
Charles F. Mercer,American Philosophical Society,Member,1817
Jean C. de la Metherie,American Philosophical Society,Member,1817
Eugenius Nulty,American Philosophical Society,Member,1817
Thomas Nuttall,American Philosophical Society,Member,1817
George Ord,American Philosophical Society,Member,1817
John C. Otto,American Philosophical Society,Member,1817
Richard Rush,American Philosophical Society,Member,1817
Thomas Say,American Philosophical Society,Member,1817
Lewis Schweinitz,American Philosophical Society,Member,1817
Joseph von Sonnenfels,American Philosophical Society,Member,1817
Henry Steinhauer,American Philosophical Society,Member,1817
Edward Troughton,American Philosophical Society,Member,1817
Johann S. Vater,American Philosophical Society,Member,1817
John Q. Adams,American Philosophical Society,Member,1818
Friedrich Adelung,American Philosophical Society,Member,1818
Jacob Bigelow,American Philosophical Society,Member,1818
Parker Cleaveland,American Philosophical Society,Member,1818
Daniel Drake,American Philosophical Society,Member,1818
Nicholas Fuss,American Philosophical Society,Member,1818
Paul Jackson,American Philosophical Society,Member,1818
Josiah Meigs,American Philosophical Society,Member,1818
Noel de la Moriniere,American Philosophical Society,Member,1818
Joseph Swain,American Philosophical Society,Member,1818
Gotthilf Fischer Von Waldheim,American Philosophical Society,Member,1818
John C. Warren,American Philosophical Society,Member,1818
Johann A. Albers,American Philosophical Society,Member,1819
Henri M. Ducrotay de Blainville,American Philosophical Society,Member,1819
Alexandre Brongniart,American Philosophical Society,Member,1819
Redmond Conyngham,American Philosophical Society,Member,1819
Anselme G. Desmarest,American Philosophical Society,Member,1819
William P. Dewees,American Philosophical Society,Member,1819
John Eberle,American Philosophical Society,Member,1819
Stephan Elliot,American Philosophical Society,Member,1819
L.H. Girardin,American Philosophical Society,Member,1819
William E. Horner,American Philosophical Society,Member,1819
Louis M. Langles,American Philosophical Society,Member,1819
Comte de Jean D. Lanjuinais,American Philosophical Society,Member,1819
Pierre A. Latreille,American Philosophical Society,Member,1819
John Murray,American Philosophical Society,Member,1819
Jacob Perkins,American Philosophical Society,Member,1819
Fred C. Schaeffer,American Philosophical Society,Member,1819
Guillaume T. Tilesius,American Philosophical Society,Member,1819
Roberts Vaux,American Philosophical Society,Member,1819
Franklin Bache,American Philosophical Society,Member,1820
John J. Berzelius,American Philosophical Society,Member,1820
J.A. Borgnis,American Philosophical Society,Member,1820
William Gibson,American Philosophical Society,Member,1820
Baron von Joseph Hormayr,American Philosophical Society,Member,1820
Samuel F. Jarvis,American Philosophical Society,Member,1820
Matthew Lesseps,American Philosophical Society,Member,1820
Isaiah Lukens,American Philosophical Society,Member,1820
William Marsden,American Philosophical Society,Member,1820
Jacques P. Merigon de Montgery,American Philosophical Society,Member,1820
John Pickering,American Philosophical Society,Member,1820
William Strickland,American Philosophical Society,Member,1820
Peter Afzelius,American Philosophical Society,Member,1821
Clement C. Biddle,American Philosophical Society,Member,1821
Elisha De Butts,American Philosophical Society,Member,1821
Mathew Carey,American Philosophical Society,Member,1821
Langdon Cheves,American Philosophical Society,Member,1821
John B. Gibson,American Philosophical Society,Member,1821
Levitt Harris,American Philosophical Society,Member,1821
George A. Otis,American Philosophical Society,Member,1821
Count Gustavus Wetterstedt,American Philosophical Society,Member,1821
James Workman,American Philosophical Society,Member,1821
Sir James Wylie,American Philosophical Society,Member,1821
Solomon W. Conrad,American Philosophical Society,Member,1822
