Name,Organization,Year Elected,Status,
Richard Weightman,Medical Society of the District of Columbia,1818,Member,
John T. Shaaff,Medical Society of the District of Columbia,1818,Member,
Frederick May,Medical Society of the District of Columbia,1818,Member,
Joel T. Gustine,Medical Society of the District of Columbia,1818,Member,
Elisha Harrison,Medical Society of the District of Columbia,1818,Member,
Peregrine Warfield,Medical Society of the District of Columbia,1818,Member,
George W. May,Medical Society of the District of Columbia,1818,Member,
Jacob Brown,U.S. Army,1816,Member,
Andrew Jackson,U.S. Army,1816,Member,
Alexander Macomb,U.S. Army,1816,Member,
Edmund P. Gaines,U.S. Army,1816,Member,
Winfield Scott,U.S. Army,1816,Member,
Eleazer W. Ripley,U.S. Army,1816,Member,
Daniel Parker,U.S. Army,1816,Member,
Robert Butler,U.S. Army,1816,Member,
Charles K. Gardner,U.S. Army,1816,Member,
Arthur P. Haine,U.S. Army,1816,Member,
John E. Wool,U.S. Army,1816,Member,
James N. Barker,U.S. Army,1816,Member,
Charles J. Nourse,U.S. Army,1816,Member,
Clinton Wright,U.S. Army,1816,Member,
R.M. Kirby,U.S. Army,1816,Member,
G.H. Manigault,U.S. Army,1816,Member,
John M. Davis,U.S. Army,1816,Member,
Francis S. Belton,U.S. Army,1816,Member,
Wm. McDonald,U.S. Army,1816,Member,
John Anderson,U.S. Army,1816,Member,
Isaac Roberdeau,U.S. Army,1816,Member,
John J. Abert,U.S. Army,1816,Member,
James Kearney,U.S. Army,1816,Member,
Stephen H. Long,U.S. Army,1816,Member,
James R. Mullany,U.S. Army,1816,Member,
George Gibson,U.S. Army,1816,Member,
Christopher Vandeventer,U.S. Army,1816,Member,
William Linnard,U.S. Army,1816,Member,
Benjamin Gardner,U.S. Army,1816,Member,
Milo Mason,U.S. Army,1816,Member,
Mark Hardin,U.S. Army,1816,Member,
William. L. Robeson,U.S. Army,1816,Member,
Decius Wadsworth,U.S. Army,1816,Member,
George Bomford,U.S. Army,1816,Member,
A.R. Wooley,U.S. Army,1816,Member,
James Dalaby,U.S. Army,1816,Member,
John Morton,U.S. Army,1816,Member,
George Talcott Jr.,U.S. Army,1816,Member,
John H. Margart,U.S. Army,1816,Member,
R.D. Richardson,U.S. Army,1816,Member,
Thomas L. Campbell,U.S. Army,1816,Member,
Edwin Tyler,U.S. Army,1816,Member,
J.H. Rees,U.S. Army,1816,Member,
Jeremiah D. Hayden,U.S. Army,1816,Member,
William Wade,U.S. Army,1816,Member,
M.J. Magee,U.S. Army,1816,Member,
Rufus L. Baker,U.S. Army,1816,Member,
William C. Lyman,U.S. Army,1816,Member,
Joseph S. Nelson,U.S. Army,1816,Member,
David T. Welsh,U.S. Army,1816,Member,
James Baker,U.S. Army,1816,Member,
Nehemiah Baden,U.S. Army,1816,Member,
Christopher Keiser,U.S. Army,1816,Member,
J. Livingston,U.S. Army,1816,Member,
William Anderson,U.S. Army,1816,Member,
James Hall,U.S. Army,1816,Member,
John W. Thompson,U.S. Army,1816,Member,
T.P. McMahon,U.S. Army,1816,Member,
Thomas T. Stephenson,U.S. Army,1816,Member,
J.C. De Hart,U.S. Army,1816,Member,
John Wilson,U.S. Army,1816,Member,
R.C. Pomeroy,U.S. Army,1816,Member,
Charles F. Morton,U.S. Army,1816,Member,
J.W. Phillips,U.S. Army,1816,Member,
O.O. Bangs,U.S. Army,1816,Member,
William F. Rigal,U.S. Army,1816,Member,
James Simonson,U.S. Army,1816,Member,
John Hills,U.S. Army,1816,Member,
John Symington,U.S. Army,1816,Member,
W.E. Williams,U.S. Army,1816,Member,
W.B. Davidson,U.S. Army,1816,Member,
Joshua Howard,U.S. Army,1816,Member,
Charles Ward,U.S. Army,1816,Member,
James Mann,U.S. Army,1816,Member,
David C. Karr,U.S. Army,1816,Member,
Samuel Shaw,U.S. Army,1816,Member,
Benjamin Waterhouse,U.S. Army,1816,Member,
Tobias Watkins,U.S. Army,1816,Member,
James C. Bronaugh,U.S. Army,1816,Member,
Joseph Lovell,U.S. Army,1816,Member,
E.H. Bell,U.S. Army,1816,Member,
J. Stevenson,U.S. Army,1816,Member,
Wm. H. Buckner,U.S. Army,1816,Member,
Edward Purcell,U.S. Army,1816,Member,
Joseph Wallace,U.S. Army,1816,Member,
William Williams,U.S. Army,1816,Member,
William Stewart,U.S. Army,1816,Member,
William Marshall,U.S. Army,1816,Member,
Joseph Eaton,U.S. Army,1816,Member,
B. Delevan,U.S. Army,1816,Member,
Robert Archer,U.S. Army,1816,Member,
James Trimble,U.S. Army,1816,Member,
Thomas Russell,U.S. Army,1816,Member,
Albion T. Crow,U.S. Army,1816,Member,
George W. Maupin,U.S. Army,1816,Member,
Joseph Goodhue,U.S. Army,1816,Member,
James H. Sargeant,U.S. Army,1816,Member,
Lemuel B. Clark,U.S. Army,1816,Member,
William T. Davidson,U.S. Army,1816,Member,
Cornelius Cunningham,U.S. Army,1816,Member,
William Ballard,U.S. Army,1816,Member,
Alexander Wolcott,U.S. Army,1816,Member,
William Turner,U.S. Army,1816,Member,
Hanson Catlett,U.S. Army,1816,Member,
John H. Sackett ,U.S. Army,1816,Member,
Samuel A. Walsh,U.S. Army,1816,Member,
Foster Swift,U.S. Army,1816,Member,
John Trevett,U.S. Army,1816,Member,
Arnold Elzy,U.S. Army,1816,Member,
German Senter,U.S. Army,1816,Member,
W.C. Lane,U.S. Army,1816,Member,
Wm. N. Mercer,U.S. Army,1816,Member,
T.I.C. Monroe,U.S. Army,1816,Member,
M.H. Elliot,U.S. Army,1816,Member,
Francis Le Baron,U.S. Army,1816,Member,
Christopher Backus,U.S. Army,1816,Member,
James Cutbush,U.S. Army,1816,Member,
James T. Dent,U.S. Army,1816,Member,
R.H. Winder,U.S. Army,1816,Member,
W.O. Winston,U.S. Army,1816,Member,
Thomas Hanson,U.S. Army,1816,Member,
John L. Leib,U.S. Army,1816,Member,
Samuel A. Storrow,U.S. Army,1816,Member,
Robert Elliot,U.S. Army,1816,Member,
Aaron I. Booge,U.S. Army,1816,Member,
Cave Jones,U.S. Army,1816,Member,
W.L. Macalla,U.S. Army,1816,Member,
Callender Irvine,U.S. Army,1816,Member,
John McKinney,U.S. Army,1816,Member,
Darby noon,U.S. Army,1816,Member,
Robert Irvine,U.S. Army,1816,Member,
James E. Herron,U.S. Army,1816,Member,
Maurice Prevost,U.S. Army,1816,Member,
Joseph W. Pindar,U.S. Army,1816,Member,
Edwin Starke,U.S. Army,1816,Member,
Archibald Steel,U.S. Army,1816,Member,
Samuel Devens,U.S. Army,1816,Member,
Synott Bloodgood,U.S. Army,1816,Member,
John Fellows,U.S. Army,1816,Member,
Jonathan Snowden,U.S. Army,1816,Member,
Thomas Martin,U.S. Army,1816,Member,
Robert Wilson,U.S. Army,1816,Member,
John Chaffee,U.S. Army,1816,Member,
Lloyd Beall,U.S. Army,1816,Member,
Thomas B. Rutter,U.S. Army,1816,Member,
James Gibson,U.S. Army,1816,Member,
George Hatchett,U.S. Army,1816,Member,
Jacinct Laval,U.S. Army,1816,Member,
Robert Brent,U.S. Army,1816,Member,
Satterlee Clark,U.S. Army,1816,Member,
A.H. Sneed,U.S. Army,1816,Member,
Joseph Woodruff,U.S. Army,1816,Member,
David Gwynne,U.S. Army,1816,Member,
David S. Townsend ,U.S. Army,1816,Member,
Thomas Montgomery,U.S. Army,1816,Member,
W.D. Lawrence,U.S. Army,1816,Member,
Leroy Opie,U.S. Army,1816,Member,
Jospeh G. Swift,U.S. Army,1816,Member,
Walker K. Armistead,U.S. Army,1816,Member,
Wm. McRee,U.S. Army,1816,Member,
Charles Gratiot,U.S. Army,1816,Member,
Alden Patridge,U.S. Army,1816,Member,
J.G. Totten,U.S. Army,1816,Member,
Samuel Babcock,U.S. Army,1816,Member,
Sylvanus Thayer,U.S. Army,1816,Member,
Wm. Cutbush,U.S. Army,1816,Member,
E. de Russey,U.S. Army,1816,Member,
Frederick Lewis,U.S. Army,1816,Member,
James Gadsden,U.S. Army,1816,Member,
T.W. Maurice,U.S. Army,1816,Member,
Hipol. Dumas,U.S. Army,1816,Member,
David B. Douglas,U.S. Army,1816,Member,
George Trescott,U.S. Army,1816,Member,
J.L. Smith,U.S. Army,1816,Member,
Hor. C. Story,U.S. Army,1816,Member,
John Wright,U.S. Army,1816,Member,
George Blaney,U.S. Army,1816,Member,
Thomas J. Leslie,U.S. Army,1816,Member,
William S. Evileth,U.S. Army,1816,Member,
William H. Chase,U.S. Army,1816,Member,
Robert W. Pooler,U.S. Army,1816,Member,
Moses Porter,U.S. Army,1816,Member,
John R. Fenwick,U.S. Army,1816,Member,
Abram Eustis,U.S. Army,1816,Member,
Andrew McDowell,U.S. Army,1816,Member,
Luther Leonard,U.S. Army,1816,Member,
A.S. Brooks,U.S. Army,1816,Member,
Nathan Towson,U.S. Army,1816,Member,
Samuel D. Harris,U.S. Army,1816,Member,
Arthur W. Thornton,U.S. Army,1816,Member,
J.L. Eastman,U.S. Army,1816,Member,
Armstrong Itvine,U.S. Army,1816,Member,
Henry K. Craig,U.S. Army,1816,Member,
John R. Bell,U.S. Army,1816,Member,
W.F. Hobart,U.S. Army,1816,Member,
G.N. Morris,U.S. Army,1816,Member,
J.H. Wilkins,U.S. Army,1816,Member,
John Gates Jr.,U.S. Army,1816,Member,
John A. Shaw,U.S. Army,1816,Member,
N.Clark,U.S. Army,1816,Member,
Wm. Lyman,U.S. Army,1816,Member,
Henry Saunders ,U.S. Army,1816,Member,
S.M. Mackay,U.S. Army,1816,Member,
George E. Wells,U.S. Army,1816,Member,
E. Lyon,U.S. Army,1816,Member,
S. Washburn,U.S. Army,1816,Member,
H.Stanton,U.S. Army,1816,Member,
G. Drane,U.S. Army,1816,Member,
W. Smith,U.S. Army,1816,Member,
H.F. Evans,U.S. Army,1816,Member,
R.F. Massie,U.S. Army,1816,Member,
J. Irvine,U.S. Army,1816,Member,
W.Wells,U.S. Army,1816,Member,
John A. Webber,U.S. Army,1816,Member,
Thomas J. Gardner,U.S. Army,1816,Member,
B. L. E. Bonneville,U.S. Army,1816,Member,
James R. Stubbs,U.S. Army,1816,Member,
Edward S. Gantt,U.S. Army,1816,Member,
C. Davies,U.S. Army,1816,Member,
Richard M. White,U.S. Army,1816,Member,
Samuel Cooper,U.S. Army,1816,Member,
Lewis Dunham,U.S. Army,1816,Member,
W. H Livingston,U.S. Army,1816,Member,
George E. Mitchell,U.S. Army,1816,Member,
James House,U.S. Army,1816,Member,
William Lindsay,U.S. Army,1816,Member,
William Macrea,U.S. Army,1816,Member,
George Armistead,U.S. Army,1816,Member,
James B. Many,U.S. Army,1816,Member,
J. Hindman,U.S. Army,1816,Member,
James Bankhead,U.S. Army,1816,Member,
Charles Wolstoncraft,U.S. Army,1816,Member,
John B. Walbach,U.S. Army,1816,Member,
Moses Swett,U.S. Army,1816,Member,
William Wilson,U.S. Army,1816,Member,
E. Humphreys,U.S. Army,1816,Member,
James Reed,U.S. Army,1816,Member,
J.B. Crane,U.S. Army,1816,Member,
Roger Jones,U.S. Army,1816,Member,
S.B. Archer,U.S. Army,1816,Member,
S. Donoho,U.S. Army,1816,Member,
"Thomas Biddle, Jun.",U.S. Army,1816,Member,
J.T.B. Romayne,U.S. Army,1816,Member,
William O. Allen,U.S. Army,1816,Member,
Thomas Stockton,U.S. Army,1816,Member,
Thomas Murray,U.S. Army,1816,Member,
William Gates,U.S. Army,1816,Member,
A.C.W. Fanning,U.S. Army,1816,Member,
J.M. O'Conner,U.S. Army,1816,Member,
"J. Roach, Jun.",U.S. Army,1816,Member,
J.F. Heileman,U.S. Army,1816,Member,
H. Yeaton,U.S. Army,1816,Member,
Thomas Bennet,U.S. Army,1816,Member,
Robert G. Hite,U.S. Army,1816,Member,
S. Churchill,U.S. Army,1816,Member,
B.K. Pierce,U.S. Army,1816,Member,
John Biddle,U.S. Army,1816,Member,
G.P. Peters,U.S. Army,1816,Member,
M.M. Payne,U.S. Army,1816,Member,
Ethan A. Allen,U.S. Army,1816,Member,
Nathaniel N. Hall,U.S. Army,1816,Member,
M.P. Lomax,U.S. Army,1816,Member,
Milo Mason,U.S. Army,1816,Member,
Adrian Niel,U.S. Army,1816,Member,
John Farley,U.S. Army,1816,Member,
Wm. M. Read,U.S. Army,1816,Member,
L. Brown,U.S. Army,1816,Member,
Luther Scott,U.S. Army,1816,Member,
R.R. Ruffin,U.S. Army,1816,Member,
Kenneth McKenzie,U.S. Army,1816,Member,
"J. Erving, Jun.",U.S. Army,1816,Member,
A.L. Sandes,U.S. Army,1816,Member,
Thomas I. Beall,U.S. Army,1816,Member,
Richard A. Zantzinger,U.S. Army,1816,Member,
W.R. Duncan,U.S. Army,1816,Member,
Chester Root,U.S. Army,1816,Member,
T. Randall,U.S. Army,1816,Member,
Gus. Loomis,U.S. Army,1816,Member,
Philip D. Spencer,U.S. Army,1816,Member,
J. Mountford,U.S. Army,1816,Member,
F. Whiting,U.S. Army,1816,Member,
Edwin Sharp,U.S. Army,1816,Member,
G. Dearborn,U.S. Army,1816,Member,
Felix Ansart,U.S. Army,1816,Member,
T.C. Legate,U.S. Army,1816,Member,
D. Frazer,U.S. Army,1816,Member,
S. Armstrong,U.S. Army,1816,Member,
R. McClelland,U.S. Army,1816,Member,
S. Spotts,U.S. Army,1816,Member,
L. Whiting,U.S. Army,1816,Member,
W.H. Nicoll,U.S. Army,1816,Member,
J.W. Kincaid,U.S. Army,1816,Member,
Robert Goode,U.S. Army,1816,Member,
Francis O. Byrd,U.S. Army,1816,Member,
George D. Snyder,U.S. Army,1816,Member,
"J.W. Lent, Jun.",U.S. Army,1816,Member,
Aeneas McKay,U.S. Army,1816,Member,
William Coffie,U.S. Army,1816,Member,
Joseph Bosque,U.S. Army,1816,Member,
Joseph P. Prince,U.S. Army,1816,Member,
Richard Bache,U.S. Army,1816,Member,
P.J. Neville,U.S. Army,1816,Member,
M.S. Massey,U.S. Army,1816,Member,
T.W. Denton,U.S. Army,1816,Member,
Charles Anthony,U.S. Army,1816,Member,
W. McClintock,U.S. Army,1816,Member,
L.H. Osgood,U.S. Army,1816,Member,
J. Henderson,U.S. Army,1816,Member,
P. Melendy,U.S. Army,1816,Member,
Joseph Taylor,U.S. Army,1816,Member,
James D. Brown,U.S. Army,1816,Member,
H.M. Campbell,U.S. Army,1816,Member,
Robert Beall,U.S. Army,1816,Member,
John A. Dix,U.S. Army,1816,Member,
G.W. Boyd,U.S. Army,1816,Member,
R. Lyman,U.S. Army,1816,Member,
J.L. Gardner,U.S. Army,1816,Member,
T.J. Harrison,U.S. Army,1816,Member,
G.W. Gardiner,U.S. Army,1816,Member,
C.S. Merchant,U.S. Army,1816,Member,
Nathaniel G. Dana,U.S. Army,1816,Member,
John Monroe,U.S. Army,1816,Member,
J.S. Allanson,U.S. Army,1816,Member,
L.G. De Russy,U.S. Army,1816,Member,
Thomas Childs,U.S. Army,1816,Member,
Jacob Schmuck,U.S. Army,1816,Member,
Thomas V. Earle,U.S. Army,1816,Member,
Charles Mellon,U.S. Army,1816,Member,
John S. Pierce,U.S. Army,1816,Member,
Allen Lowd,U.S. Army,1816,Member,
G.S. Wilkins,U.S. Army,1816,Member,
P.A. Dennis,U.S. Army,1816,Member,
J. Ripley,U.S. Army,1816,Member,
Erastus Roberts,U.S. Army,1816,Member,
Timothy Green,U.S. Army,1816,Member,
Isaac E. Craig,U.S. Army,1816,Member,
C.M. Thruston,U.S. Army,1816,Member,
H.W. Fitzhugh,U.S. Army,1816,Member,
Jacob Davis,U.S. Army,1816,Member,
E. Humphrey ,U.S. Army,1816,Member,
D.S. Andrews,U.S. Army,1816,Member,
N.G. Wilkinson,U.S. Army,1816,Member,
Elisha Brimhall,U.S. Army,1816,Member,
H.H. Minton,U.S. Army,1816,Member,
Hugh K. Mead,U.S. Army,1816,Member,
H.M. Simons,U.S. Army,1816,Member,
A.C. Fowler,U.S. Army,1816,Member,
J.S. Abeel,U.S. Army,1816,Member,
W.T. Willard,U.S. Army,1816,Member,
James Gigniliant,U.S. Army,1816,Member,
M.F.de Graffenriedte,U.S. Army,1816,Member,
R.H. Lee,U.S. Army,1816,Member,
Jesse McIlvain,U.S. Army,1816,Member,
W.L. Booth,U.S. Army,1816,Member,
Thomas I. Baird,U.S. Army,1816,Member,
Jabez Parkhurst,U.S. Army,1816,Member,
R.L. Armstrong,U.S. Army,1816,Member,
James Badolet,U.S. Army,1816,Member,
G.W. Gardner,U.S. Army,1816,Member,
B.S.A. Lowe,U.S. Army,1816,Member,
T.R. Broome,U.S. Army,1816,Member,
Patrick Galt,U.S. Army,1816,Member,
Upton S Frazer,U.S. Army,1816,Member,
B.H. Rutledge,U.S. Army,1816,Member,
John R. Sloo,U.S. Army,1816,Member,
Henry Griswold,U.S. Army,1816,Member,
James Monroe,U.S. Army,1816,Member,
Robert C. Brent,U.S. Army,1816,Member,
A. Wendell,U.S. Army,1816,Member,
G.A. Washington,U.S. Army,1816,Member,
Robert I. Scott,U.S. Army,1816,Member,
Alon. Brewer,U.S. Army,1816,Member,
F.N. Berrier,U.S. Army,1816,Member,
George Cooper,U.S. Army,1816,Member,
A.F. Cochrane,U.S. Army,1816,Member,
Milo Johnson,U.S. Army,1816,Member,
Aaron G. Gano,U.S. Army,1816,Member,
R.M. Forsyth,U.S. Army,1816,Member,
Thomas W. Lendrum,U.S. Army,1816,Member,
Henry R. Dulany,U.S. Army,1816,Member,
Daniel Bissell,U.S. Army,1816,Member,
George Croghan,U.S. Army,1816,Member,
Thomas S. Jesup,U.S. Army,1816,Member,
Alexander Gray,U.S. Army,1816,Member,
Issac L. Baker,U.S. Army,1816,Member,
W.O. Butler,U.S. Army,1816,Member,
John Jones,U.S. Army,1816,Member,
Henry Chotard,U.S. Army,1816,Member,
William Laval,U.S. Army,1816,Member,
Joseph I. Miles,U.S. Army,1816,Member,
Anatole Peychaud,U.S. Army,1816,Member,
Ferdinand L'Amelung,U.S. Army,1816,Member,
W. Christian,U.S. Army,1816,Member,
William C. Beard,U.S. Army,1816,Member,
William Sumpter,U.S. Army,1816,Member,
"S. Farrow, Jr.",U.S. Army,1816,Member,
William Gibbs,U.S. Army,1816,Member,
John Tarrant,U.S. Army,1816,Member,
Archimedes Donoho,U.S. Army,1816,Member,
Richard K. Call,U.S. Army,1816,Member,
J.F. Ross,U.S. Army,1816,Member,
James Smith,U.S. Army,1816,Member,
Robert L. Coomb,U.S. Army,1816,Member,
Thomas Rogers,U.S. Army,1816,Member,
Waddy V. Cobbs,U.S. Army,1816,Member,
Samuel Houston,U.S. Army,1816,Member,
William K. Paulling,U.S. Army,1816,Member,
Charles Cooper,U.S. Army,1816,Member,
Truman Cross,U.S. Army,1816,Member,
Robert W. Ewing,U.S. Army,1816,Member,
James Scallan ,U.S. Army,1816,Member,
Benjamin F. Harney,U.S. Army,1816,Member,
C.G. Gerrard,U.S. Army,1816,Member,
Hugh Brady,U.S. Army,1816,Member,
Ninian Pinkney,U.S. Army,1816,Member,
Henry Leavenworth,U.S. Army,1816,Member,
Robert Gray,U.S. Army,1816,Member,
John Sproul,U.S. Army,1816,Member,
George G. Steele,U.S. Army,1816,Member,
Stephen W. Kearney,U.S. Army,1816,Member,
Henry Shell,U.S. Army,1816,Member,
Alexander R. Thompson,U.S. Army,1816,Member,
G.D. Smith,U.S. Army,1816,Member,
W.I. Worth,U.S. Army,1816,Member,
Henry Whiting,U.S. Army,1816,Member,
James Bailey,U.S. Army,1816,Member,
W. Browning,U.S. Army,1816,Member,
W. Hoffman,U.S. Army,1816,Member,
B.A. Boynton,U.S. Army,1816,Member,
Owen ransom,U.S. Army,1816,Member,
James Young,U.S. Army,1816,Member,
William G. Belknap,U.S. Army,1816,Member,
S.B. Griswold,U.S. Army,1816,Member,
Walter Bicker,U.S. Army,1816,Member,
John G. Munn,U.S. Army,1816,Member,
James Palmer,U.S. Army,1816,Member,
John Wood,U.S. Army,1816,Member,
Joseph Hopkins,U.S. Army,1816,Member,
William Kendall,U.S. Army,1816,Member,
R.M. Harrison,U.S. Army,1816,Member,
Elisha Clark,U.S. Army,1816,Member,
Seth Johnson,U.S. Army,1816,Member,
Joshua B. Brant,U.S. Army,1816,Member,
John Clitz,U.S. Army,1816,Member,
Henry Smith,U.S. Army,1816,Member,
J.W. Albright,U.S. Army,1816,Member,
Walter V. Wheaton,U.S. Army,1816,Member,
Samuel H. Littlejohn,U.S. Army,1816,Member,
Josiah Everett,U.S. Army,1816,Member,
John Miller,U.S. Army,1816,Member,
Matthew Arbuckle,U.S. Army,1816,Member,
Zachariah Taylor,U.S. Army,1816,Member,
Daniel Baker,U.S. Army,1816,Member,
William I. Adair,U.S. Army,1816,Member,
John T. Chunn,U.S. Army,1816,Member,
Charles Larabee,U.S. Army,1816,Member,
William Whistler,U.S. Army,1816,Member,
Benjamin Desha,U.S. Army,1816,Member,
Her. Bradley,U.S. Army,1816,Member,
Geo. H. Grosvernor,U.S. Army,1816,Member,
George Gray,U.S. Army,1816,Member,
John  Green,U.S. Army,1816,Member,
"James Hackley, Jun.",U.S. Army,1816,Member,
John Garland,U.S. Army,1816,Member,
Charles S. Cass,U.S. Army,1816,Member,
J. Culbertson,U.S. Army,1816,Member,
Robert Sturgus,U.S. Army,1816,Member,
Daniel Curtis,U.S. Army,1816,Member,
Henry Conway,U.S. Army,1816,Member,
Lawrence Talliaferro,U.S. Army,1816,Member,
Turbly F. Thomas,U.S. Army,1816,Member,
Collin McCloud,U.S. Army,1816,Member,
Asher Phillips,U.S. Army,1816,Member,
John B. Clarke,U.S. Army,1816,Member,
Edward E. Brooks,U.S. Army,1816,Member,
Andrew Lewis,U.S. Army,1816,Member,
James Dean,U.S. Army,1816,Member,
Hillary Brunot,U.S. Army,1816,Member,
Gab. I Floyd,U.S. Army,1816,Member,
Edmond Hopkins,U.S. Army,1816,Member,
Britton Evans,U.S. Army,1816,Member,
William S. Madison,U.S. Army,1816,Member,
John Gale,U.S. Army,1816,Member,
Alfred Foster,U.S. Army,1816,Member,
William King,U.S. Army,1816,Member,
Duncan L. Clinch,U.S. Army,1816,Member,
George M. Brooke,U.S. Army,1816,Member,
Enoch Cutler,U.S. Army,1816,Member,
P. Muhlenburg,U.S. Army,1816,Member,
James Dinkins,U.S. Army,1816,Member,
J.N. McIntosh,U.S. Army,1816,Member,
A. Cummings,U.S. Army,1816,Member,
John A. Burd,U.S. Army,1816,Member,
William Taylor,U.S. Army,1816,Member,
C. Crawford,U.S. Army,1816,Member,
G.W. Melvin,U.S. Army,1816,Member,
James H. Hook,U.S. Army,1816,Member,
Thomas Karney,U.S. Army,1816,Member,
William Neilson,U.S. Army,1816,Member,
Otho W. Callis,U.S. Army,1816,Member,
Lewis Yancey,U.S. Army,1816,Member,
William T. Pendleton,U.S. Army,1816,Member,
"J. McGavoch, Jun. ",U.S. Army,1816,Member,
James H. Gale,U.S. Army,1816,Member,
J.M. Glassell,U.S. Army,1816,Member,
E.B. Randolph,U.S. Army,1816,Member,
T.L. Dade,U.S. Army,1816,Member,
Philip Wager,U.S. Army,1816,Member,
J. Shommo,U.S. Army,1816,Member,
Henry Wilson,U.S. Army,1816,Member,
George B. McClaskey,U.S. Army,1816,Member,
R.M. Sands,U.S. Army,1816,Member,
John L. Elbert,U.S. Army,1816,Member,
Adam G. Goodlet,U.S. Army,1816,Member,
R.C. Lane,U.S. Army,1816,Member,
James Miller,U.S. Army,1816,Member,
Joseph L. Smith,U.S. Army,1816,Member,
"J. McNeal, Jun.",U.S. Army,1816,Member,
Josiah H. Vose,U.S. Army,1816,Member,
S. Burbank,U.S. Army,1816,Member,
George Bender,U.S. Army,1816,Member,
M. Marston,U.S. Army,1816,Member,
W.L. Foster,U.S. Army,1816,Member,
Peter Pelham,U.S. Army,1816,Member,
"J. Fowle, Jun. ",U.S. Army,1816,Member,
E. Childs,U.S. Army,1816,Member,
David Perry,U.S. Army,1816,Member,
James Pratt,U.S. Army,1816,Member,
Henry Whiting,U.S. Army,1816,Member,
George Gooding,U.S. Army,1816,Member,
William B. Adams,U.S. Army,1816,Member,
J. Plympton,U.S. Army,1816,Member,
G.W. Hovey,U.S. Army,1816,Member,
Otis Fisher,U.S. Army,1816,Member,
Joseph Gleason,U.S. Army,1816,Member,
J.W. Holding,U.S. Army,1816,Member,
Benj. F. Larned,U.S. Army,1816,Member,
S. Butterfield,U.S. Army,1816,Member,
Robert A. McCabe,U.S. Army,1816,Member,
Nathan Clark,U.S. Army,1816,Member,
Edmund Kirby,U.S. Army,1816,Member,
O. Martin,U.S. Army,1816,Member,
T. Hunt,U.S. Army,1816,Member,
Arnold B. Dake,U.S. Army,1816,Member,
R.H. Hammon,U.S. Army,1816,Member,
P.R. Green,U.S. Army,1816,Member,
John McCartney,U.S. Army,1816,Member,
William Downey,U.S. Army,1816,Member,
Sylvester Day,U.S. Army,1816,Member,
Elisha L. Allen,U.S. Army,1816,Member,
J.P. Russell,U.S. Army,1816,Member,
Henry Atkinson,U.S. Army,1816,Member,
Josiah Snelling,U.S. Army,1816,Member,
James V. Ball,U.S. Army,1816,Member,
Gad Humphreys,U.S. Army,1816,Member,
Turner Crooker,U.S. Army,1816,Member,
W.S. Foster,U.S. Army,1816,Member,
Thos. M. Read,U.S. Army,1816,Member,
John Bliss,U.S. Army,1816,Member,
Benjamin Watson,U.S. Army,1816,Member,
George McGlassin,U.S. Army,1816,Member,
Daniel Ketchum,U.S. Army,1816,Member,
Thomas Hamilton,U.S. Army,1816,Member,
Newman S. Clarke,U.S. Army,1816,Member,
Elisha Boardman,U.S. Army,1816,Member,
William Hale,U.S. Army,1816,Member,
Ephraim Shaylor,U.S. Army,1816,Member,
G.McChain,U.S. Army,1816,Member,
Frederick A. Sawyer,U.S. Army,1816,Member,
J.P. Livingston,U.S. Army,1816,Member,
Alphonso Wetmore,U.S. Army,1816,Member,
Thomas Staniford,U.S. Army,1816,Member,
"J. Clark, Jun.",U.S. Army,1816,Member,
Delafayette Wilcox,U.S. Army,1816,Member,
John Ellison,U.S. Army,1816,Member,
Thomas Tupper,U.S. Army,1816,Member,
"S. Keeler, Jun. ",U.S. Army,1816,Member,
Haren Bedel,U.S. Army,1816,Member,
James McIlyain,U.S. Army,1816,Member,
Benj. Fitch,U.S. Army,1816,Member,
Jacob Brown,U.S. Army,1816,Member,
John Mansfield,U.S. Army,1816,Member,
Thomas G. Mowers,U.S. Army,1816,Member,
Charles Loring,U.S. Army,1816,Member,
William Sterne,U.S. Army,1816,Member,
James McDonald,U.S. Army,1816,Member,
David Brearly,U.S. Army,1816,Member,
John Nicks,U.S. Army,1816,Member,
R. Whartenby,U.S. Army,1816,Member,
Francis W. Armstrong,U.S. Army,1816,Member,
D.E. Twiggs,U.S. Army,1816,Member,
Richard H. Bell,U.S. Army,1816,Member,
George Vashon,U.S. Army,1816,Member,
Elijah Montgomery,U.S. Army,1816,Member,
J.S. Allison,U.S. Army,1816,Member,
George Birch,U.S. Army,1816,Member,
John R. Corbaly,U.S. Army,1816,Member,
William Baily,U.S. Army,1816,Member,
J.H. Mallory,U.S. Army,1816,Member,
"William Beel, Jun.",U.S. Army,1816,Member,
J.J. Clinch,U.S. Army,1816,Member,
J. Gassaway,U.S. Army,1816,Member,
T. Blackston,U.S. Army,1816,Member,
A. Ross,U.S. Army,1816,Member,
Jacob Tipton,U.S. Army,1816,Member,
Edmund Hall,U.S. Army,1816,Member,
F.S. Gray,U.S. Army,1816,Member,
Micajah Crupper,U.S. Army,1816,Member,
J.W. Allston,U.S. Army,1816,Member,
H.L. O'Neale,U.S. Army,1816,Member,
R.H. Goodwyn,U.S. Army,1816,Member,
G. Leftwich,U.S. Army,1816,Member,
R.W. Scott,U.S. Army,1816,Member,
Lewis Lawshe,U.S. Army,1816,Member,
Benjamin R. Christian,U.S. Army,1816,Member,
Thomas Lawson,U.S. Army,1816,Member,
